id_tiempo,id_territorio,id_sector,id_medida,valor_ipc
202605,1,1,1,102.951
202604,1,1,1,102.883
202603,1,1,1,102.44
202602,1,1,1,101.261
202601,1,1,1,100.836
202512,1,1,1,101.289
202511,1,1,1,100.943
202510,1,1,1,100.748
202509,1,1,1,100.059
202508,1,1,1,100.345
202507,1,1,1,100.305
202506,1,1,1,100.382
202505,1,1,1,99.714
202504,1,1,1,99.647
202503,1,1,1,99.024
202502,1,1,1,98.966
202501,1,1,1,98.579
202412,1,1,1,98.411
202411,1,1,1,97.968
202410,1,1,1,97.729
202409,1,1,1,97.123
202408,1,1,1,97.713
202407,1,1,1,97.673
202406,1,1,1,98.139
202405,1,1,1,97.771
202404,1,1,1,97.514
202403,1,1,1,96.84
202402,1,1,1,96.108
202401,1,1,1,95.768
202312,1,1,1,95.687
202311,1,1,1,95.663
202310,1,1,1,95.998
202309,1,1,1,95.721
202308,1,1,1,95.552
202307,1,1,1,95.042
202306,1,1,1,94.881
202305,1,1,1,94.345
202304,1,1,1,94.39
202303,1,1,1,93.831
202302,1,1,1,93.487
202301,1,1,1,92.613
202212,1,1,1,92.808
202211,1,1,1,92.669
202210,1,1,1,92.78
202209,1,1,1,92.47
202208,1,1,1,93.117
202207,1,1,1,92.881
202206,1,1,1,93.118
202205,1,1,1,91.426
202204,1,1,1,90.676
202203,1,1,1,90.837
202202,1,1,1,88.167
202201,1,1,1,87.46
202112,1,1,1,87.797
202111,1,1,1,86.761
202110,1,1,1,86.496
202109,1,1,1,84.934
202108,1,1,1,84.232
202107,1,1,1,83.85
202106,1,1,1,84.487
202105,1,1,1,84.087
202104,1,1,1,83.693
202103,1,1,1,82.716
202102,1,1,1,81.922
202101,1,1,1,82.407
202012,1,1,1,82.4
202011,1,1,1,82.225
202010,1,1,1,82.09
202009,1,1,1,81.662
202008,1,1,1,81.54
202007,1,1,1,81.502
202006,1,1,1,82.24
202005,1,1,1,81.863
202004,1,1,1,81.868
202003,1,1,1,81.621
202002,1,1,1,81.935
202001,1,1,1,82.032
201912,1,1,1,82.84
201911,1,1,1,82.9
201910,1,1,1,82.76
201909,1,1,1,81.965
201908,1,1,1,81.965
201907,1,1,1,82.011
201906,1,1,1,82.522
201905,1,1,1,82.619
201904,1,1,1,82.459
201903,1,1,1,81.636
201902,1,1,1,81.34
201901,1,1,1,81.142
201812,1,1,1,82.193
201811,1,1,1,82.563
201810,1,1,1,82.654
201809,1,1,1,81.897
201808,1,1,1,81.697
201807,1,1,1,81.581
201806,1,1,1,82.17
201805,1,1,1,81.956
201804,1,1,1,81.224
201803,1,1,1,80.558
201802,1,1,1,80.463
201801,1,1,1,80.355
201712,1,1,1,81.231
201711,1,1,1,81.194
201710,1,1,1,80.825
201709,1,1,1,80.086
201708,1,1,1,79.947
201707,1,1,1,79.788
201706,1,1,1,80.343
