id_const,territorio,id_tiempo,tipo,unidad,valor
93,Andalucía,201808,Mercantiles,Número de Sociedades,932
94,Andalucía,201807,Mercantiles,Número de Sociedades,1252
95,Andalucía,201806,Mercantiles,Número de Sociedades,1347
96,Andalucía,201805,Mercantiles,Número de Sociedades,1499
97,Andalucía,201804,Mercantiles,Número de Sociedades,1564
98,Andalucía,201803,Mercantiles,Número de Sociedades,1512
99,Andalucía,201802,Mercantiles,Número de Sociedades,1360
100,Andalucía,201801,Mercantiles,Número de Sociedades,1639
101,Andalucía,201712,Mercantiles,Número de Sociedades,1118
102,Andalucía,201711,Mercantiles,Número de Sociedades,1301
103,Andalucía,201710,Mercantiles,Número de Sociedades,1260
104,Andalucía,201709,Mercantiles,Número de Sociedades,999
105,Andalucía,201708,Mercantiles,Número de Sociedades,1024
106,Andalucía,201707,Mercantiles,Número de Sociedades,1049
107,Andalucía,201706,Mercantiles,Número de Sociedades,1313
108,Andalucía,201705,Mercantiles,Número de Sociedades,1435
109,Andalucía,201704,Mercantiles,Número de Sociedades,1274
110,Andalucía,201703,Mercantiles,Número de Sociedades,1784
111,Andalucía,201702,Mercantiles,Número de Sociedades,1412
112,Andalucía,201701,Mercantiles,Número de Sociedades,1412
113,Andalucía,201612,Mercantiles,Número de Sociedades,1162
114,Andalucía,201611,Mercantiles,Número de Sociedades,1342
115,Andalucía,201610,Mercantiles,Número de Sociedades,1195
116,Andalucía,201609,Mercantiles,Número de Sociedades,1213
117,Andalucía,201608,Mercantiles,Número de Sociedades,958
118,Andalucía,201607,Mercantiles,Número de Sociedades,1389
119,Andalucía,201606,Mercantiles,Número de Sociedades,1582
120,Andalucía,201605,Mercantiles,Número de Sociedades,1418
121,Andalucía,201604,Mercantiles,Número de Sociedades,1565
122,Andalucía,201603,Mercantiles,Número de Sociedades,1640
123,Andalucía,201602,Mercantiles,Número de Sociedades,1655
124,Andalucía,201601,Mercantiles,Número de Sociedades,1570
125,Andalucía,201512,Mercantiles,Número de Sociedades,1379
126,Andalucía,201511,Mercantiles,Número de Sociedades,1322
127,Andalucía,201510,Mercantiles,Número de Sociedades,1253
128,Andalucía,201509,Mercantiles,Número de Sociedades,1088
129,Andalucía,201508,Mercantiles,Número de Sociedades,839
130,Andalucía,201507,Mercantiles,Número de Sociedades,1358
131,Andalucía,201506,Mercantiles,Número de Sociedades,1440
132,Andalucía,201505,Mercantiles,Número de Sociedades,1355
133,Andalucía,201504,Mercantiles,Número de Sociedades,1252
134,Andalucía,201503,Mercantiles,Número de Sociedades,1760
135,Andalucía,201502,Mercantiles,Número de Sociedades,1450
136,Andalucía,201501,Mercantiles,Número de Sociedades,1397
137,Andalucía,201412,Mercantiles,Número de Sociedades,1194
138,Andalucía,201411,Mercantiles,Número de Sociedades,1240
139,Andalucía,201410,Mercantiles,Número de Sociedades,1369
140,Andalucía,201409,Mercantiles,Número de Sociedades,1197
141,Andalucía,201408,Mercantiles,Número de Sociedades,802
142,Andalucía,201407,Mercantiles,Número de Sociedades,1304
143,Andalucía,201406,Mercantiles,Número de Sociedades,1257
144,Andalucía,201405,Mercantiles,Número de Sociedades,1261
145,Andalucía,201404,Mercantiles,Número de Sociedades,1448
146,Andalucía,201403,Mercantiles,Número de Sociedades,1536
147,Andalucía,201402,Mercantiles,Número de Sociedades,1402
148,Andalucía,201401,Mercantiles,Número de Sociedades,1531
149,Andalucía,201312,Mercantiles,Número de Sociedades,1061
150,Andalucía,201311,Mercantiles,Número de Sociedades,1212
151,Andalucía,201310,Mercantiles,Número de Sociedades,1281
152,Andalucía,201309,Mercantiles,Número de Sociedades,1103
153,Andalucía,201308,Mercantiles,Número de Sociedades,887
154,Andalucía,201307,Mercantiles,Número de Sociedades,1370
155,Andalucía,201306,Mercantiles,Número de Sociedades,1234
156,Andalucía,201305,Mercantiles,Número de Sociedades,1464
157,Andalucía,201304,Mercantiles,Número de Sociedades,1579
158,Andalucía,201303,Mercantiles,Número de Sociedades,1395
159,Andalucía,201302,Mercantiles,Número de Sociedades,1303
160,Andalucía,201301,Mercantiles,Número de Sociedades,1499
161,Andalucía,201212,Mercantiles,Número de Sociedades,1060
162,Andalucía,201211,Mercantiles,Número de Sociedades,1273
163,Andalucía,201210,Mercantiles,Número de Sociedades,1234
164,Andalucía,201209,Mercantiles,Número de Sociedades,1033
165,Andalucía,201208,Mercantiles,Número de Sociedades,887
166,Andalucía,201207,Mercantiles,Número de Sociedades,1136
167,Andalucía,201206,Mercantiles,Número de Sociedades,1226
168,Andalucía,201205,Mercantiles,Número de Sociedades,1250
169,Andalucía,201204,Mercantiles,Número de Sociedades,1119
170,Andalucía,201203,Mercantiles,Número de Sociedades,1511
171,Andalucía,201202,Mercantiles,Número de Sociedades,1331
172,Andalucía,201201,Mercantiles,Número de Sociedades,1339
173,Andalucía,201112,Mercantiles,Número de Sociedades,1079
174,Andalucía,201111,Mercantiles,Número de Sociedades,1194
175,Andalucía,201110,Mercantiles,Número de Sociedades,1080
176,Andalucía,201109,Mercantiles,Número de Sociedades,875
177,Andalucía,201108,Mercantiles,Número de Sociedades,906
178,Andalucía,201107,Mercantiles,Número de Sociedades,1200
179,Andalucía,201106,Mercantiles,Número de Sociedades,1326
180,Andalucía,201105,Mercantiles,Número de Sociedades,1174
181,Andalucía,201104,Mercantiles,Número de Sociedades,1117
182,Andalucía,201103,Mercantiles,Número de Sociedades,1597
183,Andalucía,201102,Mercantiles,Número de Sociedades,1228
184,Andalucía,201101,Mercantiles,Número de Sociedades,1166
185,Andalucía,201012,Mercantiles,Número de Sociedades,1011
186,Andalucía,201011,Mercantiles,Número de Sociedades,966
187,Andalucía,201010,Mercantiles,Número de Sociedades,826
188,Andalucía,201009,Mercantiles,Número de Sociedades,828
189,Andalucía,201008,Mercantiles,Número de Sociedades,677
190,Andalucía,201007,Mercantiles,Número de Sociedades,1006
191,Andalucía,201006,Mercantiles,Número de Sociedades,1216
192,Andalucía,201005,Mercantiles,Número de Sociedades,1154
193,Andalucía,201004,Mercantiles,Número de Sociedades,1242
194,Andalucía,201003,Mercantiles,Número de Sociedades,1362
195,Andalucía,201002,Mercantiles,Número de Sociedades,1206
196,Andalucía,201001,Mercantiles,Número de Sociedades,988
197,Andalucía,200912,Mercantiles,Número de Sociedades,996
198,Andalucía,200911,Mercantiles,Número de Sociedades,1096
199,Andalucía,200910,Mercantiles,Número de Sociedades,1079
200,Andalucía,200909,Mercantiles,Número de Sociedades,898
201,Andalucía,200908,Mercantiles,Número de Sociedades,695
202,Andalucía,200907,Mercantiles,Número de Sociedades,899
203,Andalucía,200906,Mercantiles,Número de Sociedades,1188
204,Andalucía,200905,Mercantiles,Número de Sociedades,1031
205,Andalucía,200904,Mercantiles,Número de Sociedades,1061
206,Andalucía,200903,Mercantiles,Número de Sociedades,1417
207,Andalucía,200902,Mercantiles,Número de Sociedades,1341
208,Andalucía,200901,Mercantiles,Número de Sociedades,1039
209,Andalucía,200812,Mercantiles,Número de Sociedades,1012
210,Andalucía,200811,Mercantiles,Número de Sociedades,1038
211,Andalucía,200810,Mercantiles,Número de Sociedades,1073
212,Andalucía,200809,Mercantiles,Número de Sociedades,1111
213,Andalucía,200808,Mercantiles,Número de Sociedades,796
214,Andalucía,200807,Mercantiles,Número de Sociedades,1279
215,Andalucía,200806,Mercantiles,Número de Sociedades,1197
216,Andalucía,200805,Mercantiles,Número de Sociedades,1547
217,Andalucía,200804,Mercantiles,Número de Sociedades,1788
218,Andalucía,200803,Mercantiles,Número de Sociedades,1532
219,Andalucía,200802,Mercantiles,Número de Sociedades,1565
220,Andalucía,200801,Mercantiles,Número de Sociedades,1888
221,Aragón,202604,Mercantiles,Número de Sociedades,215
222,Aragón,202603,Mercantiles,Número de Sociedades,303
223,Aragón,202602,Mercantiles,Número de Sociedades,275
224,Aragón,202601,Mercantiles,Número de Sociedades,206
225,Aragón,202512,Mercantiles,Número de Sociedades,227
226,Aragón,202511,Mercantiles,Número de Sociedades,223
227,Aragón,202510,Mercantiles,Número de Sociedades,212
228,Aragón,202509,Mercantiles,Número de Sociedades,163
229,Aragón,202508,Mercantiles,Número de Sociedades,159
230,Aragón,202507,Mercantiles,Número de Sociedades,163
231,Aragón,202506,Mercantiles,Número de Sociedades,239
232,Aragón,202505,Mercantiles,Número de Sociedades,243
233,Aragón,202504,Mercantiles,Número de Sociedades,202
234,Aragón,202503,Mercantiles,Número de Sociedades,273
235,Aragón,202502,Mercantiles,Número de Sociedades,195
236,Aragón,202501,Mercantiles,Número de Sociedades,255
237,Aragón,202412,Mercantiles,Número de Sociedades,179
238,Aragón,202411,Mercantiles,Número de Sociedades,178
239,Aragón,202410,Mercantiles,Número de Sociedades,226
240,Aragón,202409,Mercantiles,Número de Sociedades,142
241,Aragón,202408,Mercantiles,Número de Sociedades,137
242,Aragón,202407,Mercantiles,Número de Sociedades,183
243,Aragón,202406,Mercantiles,Número de Sociedades,209
244,Aragón,202405,Mercantiles,Número de Sociedades,168
245,Aragón,202404,Mercantiles,Número de Sociedades,187
246,Aragón,202403,Mercantiles,Número de Sociedades,173
247,Aragón,202402,Mercantiles,Número de Sociedades,218
248,Aragón,202401,Mercantiles,Número de Sociedades,233
249,Aragón,202312,Mercantiles,Número de Sociedades,171
250,Aragón,202311,Mercantiles,Número de Sociedades,158
251,Aragón,202310,Mercantiles,Número de Sociedades,142
252,Aragón,202309,Mercantiles,Número de Sociedades,126
253,Aragón,202308,Mercantiles,Número de Sociedades,109
254,Aragón,202307,Mercantiles,Número de Sociedades,153
255,Aragón,202306,Mercantiles,Número de Sociedades,199
256,Aragón,202305,Mercantiles,Número de Sociedades,195
257,Aragón,202304,Mercantiles,Número de Sociedades,127
258,Aragón,202303,Mercantiles,Número de Sociedades,238
259,Aragón,202302,Mercantiles,Número de Sociedades,187
260,Aragón,202301,Mercantiles,Número de Sociedades,166
261,Aragón,202212,Mercantiles,Número de Sociedades,161
262,Aragón,202211,Mercantiles,Número de Sociedades,162
263,Aragón,202210,Mercantiles,Número de Sociedades,125
264,Aragón,202209,Mercantiles,Número de Sociedades,127
265,Aragón,202208,Mercantiles,Número de Sociedades,97
266,Aragón,202207,Mercantiles,Número de Sociedades,126
267,Aragón,202206,Mercantiles,Número de Sociedades,164
268,Aragón,202205,Mercantiles,Número de Sociedades,171
269,Aragón,202204,Mercantiles,Número de Sociedades,144
270,Aragón,202203,Mercantiles,Número de Sociedades,199
271,Aragón,202202,Mercantiles,Número de Sociedades,185
272,Aragón,202201,Mercantiles,Número de Sociedades,162
273,Aragón,202112,Mercantiles,Número de Sociedades,166
274,Aragón,202111,Mercantiles,Número de Sociedades,166
275,Aragón,202110,Mercantiles,Número de Sociedades,132
276,Aragón,202109,Mercantiles,Número de Sociedades,120
277,Aragón,202108,Mercantiles,Número de Sociedades,105
