id_dis,territorio,id_tiempo,razon,numero_sociedades
127,Andalucía,201510,Voluntaria,127.0
128,Andalucía,201509,Voluntaria,141.0
129,Andalucía,201508,Voluntaria,141.0
130,Andalucía,201507,Voluntaria,134.0
131,Andalucía,201506,Voluntaria,133.0
132,Andalucía,201505,Voluntaria,164.0
133,Andalucía,201504,Voluntaria,158.0
134,Andalucía,201503,Voluntaria,201.0
135,Andalucía,201502,Voluntaria,215.0
136,Andalucía,201501,Voluntaria,365.0
137,Andalucía,201412,Voluntaria,224.0
138,Andalucía,201411,Voluntaria,194.0
139,Andalucía,201410,Voluntaria,183.0
140,Andalucía,201409,Voluntaria,160.0
141,Andalucía,201408,Voluntaria,135.0
142,Andalucía,201407,Voluntaria,156.0
143,Andalucía,201406,Voluntaria,126.0
144,Andalucía,201405,Voluntaria,158.0
145,Andalucía,201404,Voluntaria,177.0
146,Andalucía,201403,Voluntaria,203.0
147,Andalucía,201402,Voluntaria,226.0
148,Andalucía,201401,Voluntaria,345.0
149,Andalucía,201312,Voluntaria,265.0
150,Andalucía,201311,Voluntaria,199.0
151,Andalucía,201310,Voluntaria,229.0
152,Andalucía,201309,Voluntaria,174.0
153,Andalucía,201308,Voluntaria,146.0
154,Andalucía,201307,Voluntaria,187.0
155,Andalucía,201306,Voluntaria,153.0
156,Andalucía,201305,Voluntaria,234.0
157,Andalucía,201304,Voluntaria,237.0
158,Andalucía,201303,Voluntaria,214.0
159,Andalucía,201302,Voluntaria,272.0
160,Andalucía,201301,Voluntaria,443.0
161,Andalucía,201212,Voluntaria,285.0
162,Andalucía,201211,Voluntaria,212.0
163,Andalucía,201210,Voluntaria,193.0
164,Andalucía,201209,Voluntaria,145.0
165,Andalucía,201208,Voluntaria,167.0
166,Andalucía,201207,Voluntaria,154.0
167,Andalucía,201206,Voluntaria,169.0
168,Andalucía,201205,Voluntaria,181.0
169,Andalucía,201204,Voluntaria,176.0
170,Andalucía,201203,Voluntaria,252.0
171,Andalucía,201202,Voluntaria,311.0
172,Andalucía,201201,Voluntaria,419.0
173,Andalucía,201112,Voluntaria,302.0
174,Andalucía,201111,Voluntaria,179.0
175,Andalucía,201110,Voluntaria,186.0
176,Andalucía,201109,Voluntaria,167.0
177,Andalucía,201108,Voluntaria,131.0
178,Andalucía,201107,Voluntaria,127.0
179,Andalucía,201106,Voluntaria,171.0
180,Andalucía,201105,Voluntaria,201.0
181,Andalucía,201104,Voluntaria,149.0
182,Andalucía,201103,Voluntaria,244.0
183,Andalucía,201102,Voluntaria,220.0
184,Andalucía,201101,Voluntaria,332.0
185,Andalucía,201012,Voluntaria,273.0
186,Andalucía,201011,Voluntaria,196.0
187,Andalucía,201010,Voluntaria,144.0
188,Andalucía,201009,Voluntaria,154.0
189,Andalucía,201008,Voluntaria,121.0
190,Andalucía,201007,Voluntaria,166.0
191,Andalucía,201006,Voluntaria,155.0
192,Andalucía,201005,Voluntaria,302.0
193,Andalucía,201004,Voluntaria,149.0
194,Andalucía,201003,Voluntaria,219.0
195,Andalucía,201002,Voluntaria,232.0
196,Andalucía,201001,Voluntaria,319.0
197,Andalucía,200912,Voluntaria,271.0
198,Andalucía,200911,Voluntaria,172.0
199,Andalucía,200910,Voluntaria,148.0
200,Andalucía,200909,Voluntaria,137.0
201,Andalucía,200908,Voluntaria,112.0
202,Andalucía,200907,Voluntaria,111.0
203,Andalucía,200906,Voluntaria,199.0
204,Andalucía,200905,Voluntaria,146.0
205,Andalucía,200904,Voluntaria,159.0
206,Andalucía,200903,Voluntaria,314.0
207,Andalucía,200902,Voluntaria,382.0
208,Andalucía,200901,Voluntaria,336.0
209,Andalucía,200812,Voluntaria,244.0
210,Andalucía,200811,Voluntaria,230.0
211,Andalucía,200810,Voluntaria,169.0
212,Andalucía,200809,Voluntaria,186.0
213,Andalucía,200808,Voluntaria,105.0
214,Andalucía,200807,Voluntaria,117.0
215,Andalucía,200806,Voluntaria,126.0
216,Andalucía,200805,Voluntaria,144.0
217,Andalucía,200804,Voluntaria,180.0
218,Andalucía,200803,Voluntaria,178.0
219,Andalucía,200802,Voluntaria,259.0
220,Andalucía,200801,Voluntaria,346.0
221,Aragón,202604,Voluntaria,53.0
222,Aragón,202603,Voluntaria,58.0
223,Aragón,202602,Voluntaria,75.0
224,Aragón,202601,Voluntaria,110.0
225,Aragón,202512,Voluntaria,144.0
226,Aragón,202511,Voluntaria,77.0
227,Aragón,202510,Voluntaria,58.0
228,Aragón,202509,Voluntaria,26.0
229,Aragón,202508,Voluntaria,33.0
230,Aragón,202507,Voluntaria,26.0
231,Aragón,202506,Voluntaria,38.0
232,Aragón,202505,Voluntaria,51.0
233,Aragón,202504,Voluntaria,44.0
234,Aragón,202503,Voluntaria,51.0
235,Aragón,202502,Voluntaria,66.0
236,Aragón,202501,Voluntaria,115.0
237,Aragón,202412,Voluntaria,142.0
238,Aragón,202411,Voluntaria,63.0
239,Aragón,202410,Voluntaria,46.0
240,Aragón,202409,Voluntaria,38.0
241,Aragón,202408,Voluntaria,36.0
242,Aragón,202407,Voluntaria,23.0
243,Aragón,202406,Voluntaria,38.0
244,Aragón,202405,Voluntaria,35.0
245,Aragón,202404,Voluntaria,38.0
246,Aragón,202403,Voluntaria,48.0
247,Aragón,202402,Voluntaria,59.0
248,Aragón,202401,Voluntaria,142.0
249,Aragón,202312,Voluntaria,127.0
250,Aragón,202311,Voluntaria,69.0
251,Aragón,202310,Voluntaria,40.0
252,Aragón,202309,Voluntaria,25.0
253,Aragón,202308,Voluntaria,37.0
254,Aragón,202307,Voluntaria,26.0
255,Aragón,202306,Voluntaria,43.0
256,Aragón,202305,Voluntaria,38.0
257,Aragón,202304,Voluntaria,32.0
258,Aragón,202303,Voluntaria,71.0
259,Aragón,202302,Voluntaria,77.0
260,Aragón,202301,Voluntaria,103.0
261,Aragón,202212,Voluntaria,107.0
262,Aragón,202211,Voluntaria,71.0
263,Aragón,202210,Voluntaria,51.0
264,Aragón,202209,Voluntaria,31.0
265,Aragón,202208,Voluntaria,34.0
266,Aragón,202207,Voluntaria,33.0
267,Aragón,202206,Voluntaria,40.0
268,Aragón,202205,Voluntaria,36.0
269,Aragón,202204,Voluntaria,32.0
270,Aragón,202203,Voluntaria,52.0
271,Aragón,202202,Voluntaria,71.0
272,Aragón,202201,Voluntaria,107.0
273,Aragón,202112,Voluntaria,102.0
274,Aragón,202111,Voluntaria,94.0
