id_tiempo,anio,mes,nombre_mes
200511,2005,11,Noviembre
200510,2005,10,Octubre
200509,2005,9,Septiembre
200508,2005,8,Agosto
200507,2005,7,Julio
200506,2005,6,Junio
200505,2005,5,Mayo
200504,2005,4,Abril
200503,2005,3,Marzo
200502,2005,2,Febrero
200501,2005,1,Enero
200412,2004,12,Diciembre
200411,2004,11,Noviembre
200410,2004,10,Octubre
200409,2004,9,Septiembre
200408,2004,8,Agosto
200407,2004,7,Julio
200406,2004,6,Junio
200405,2004,5,Mayo
200404,2004,4,Abril
200403,2004,3,Marzo
200402,2004,2,Febrero
200401,2004,1,Enero
200312,2003,12,Diciembre
200311,2003,11,Noviembre
200310,2003,10,Octubre
200309,2003,9,Septiembre
200308,2003,8,Agosto
200307,2003,7,Julio
200306,2003,6,Junio
200305,2003,5,Mayo
200304,2003,4,Abril
200303,2003,3,Marzo
200302,2003,2,Febrero
200301,2003,1,Enero
200212,2002,12,Diciembre
200211,2002,11,Noviembre
200210,2002,10,Octubre
200209,2002,9,Septiembre
200208,2002,8,Agosto
200207,2002,7,Julio
200206,2002,6,Junio
200205,2002,5,Mayo
200204,2002,4,Abril
200203,2002,3,Marzo
200202,2002,2,Febrero
200201,2002,1,Enero
