id_tiempo,anio,mes,nombre_mes
200403,2004,3,marzo
200402,2004,2,febrero
200401,2004,1,enero
200312,2003,12,diciembre
200311,2003,11,noviembre
200310,2003,10,octubre
200309,2003,9,septiembre
200308,2003,8,agosto
200307,2003,7,julio
200306,2003,6,junio
200305,2003,5,mayo
200304,2003,4,abril
200303,2003,3,marzo
200302,2003,2,febrero
200301,2003,1,enero
200212,2002,12,diciembre
200211,2002,11,noviembre
200210,2002,10,octubre
200209,2002,9,septiembre
200208,2002,8,agosto
200207,2002,7,julio
200206,2002,6,junio
200205,2002,5,mayo
200204,2002,4,abril
200203,2002,3,marzo
200202,2002,2,febrero
200201,2002,1,enero
202606,2026,6,junio
