id_dis,id_tiempo,razon,numero_sociedades,id_territorio
212,200809,voluntaria,186,2
213,200808,voluntaria,105,2
214,200807,voluntaria,117,2
215,200806,voluntaria,126,2
216,200805,voluntaria,144,2
217,200804,voluntaria,180,2
218,200803,voluntaria,178,2
219,200802,voluntaria,259,2
220,200801,voluntaria,346,2
221,202604,voluntaria,53,3
222,202603,voluntaria,58,3
223,202602,voluntaria,75,3
224,202601,voluntaria,110,3
225,202512,voluntaria,144,3
226,202511,voluntaria,77,3
227,202510,voluntaria,58,3
228,202509,voluntaria,26,3
229,202508,voluntaria,33,3
230,202507,voluntaria,26,3
231,202506,voluntaria,38,3
232,202505,voluntaria,51,3
233,202504,voluntaria,44,3
234,202503,voluntaria,51,3
235,202502,voluntaria,66,3
236,202501,voluntaria,115,3
237,202412,voluntaria,142,3
238,202411,voluntaria,63,3
239,202410,voluntaria,46,3
240,202409,voluntaria,38,3
241,202408,voluntaria,36,3
242,202407,voluntaria,23,3
243,202406,voluntaria,38,3
244,202405,voluntaria,35,3
245,202404,voluntaria,38,3
246,202403,voluntaria,48,3
247,202402,voluntaria,59,3
248,202401,voluntaria,142,3
249,202312,voluntaria,127,3
250,202311,voluntaria,69,3
251,202310,voluntaria,40,3
252,202309,voluntaria,25,3
253,202308,voluntaria,37,3
254,202307,voluntaria,26,3
255,202306,voluntaria,43,3
256,202305,voluntaria,38,3
257,202304,voluntaria,32,3
258,202303,voluntaria,71,3
259,202302,voluntaria,77,3
260,202301,voluntaria,103,3
261,202212,voluntaria,107,3
262,202211,voluntaria,71,3
263,202210,voluntaria,51,3
264,202209,voluntaria,31,3
265,202208,voluntaria,34,3
266,202207,voluntaria,33,3
267,202206,voluntaria,40,3
268,202205,voluntaria,36,3
269,202204,voluntaria,32,3
270,202203,voluntaria,52,3
271,202202,voluntaria,71,3
272,202201,voluntaria,107,3
273,202112,voluntaria,102,3
274,202111,voluntaria,94,3
275,202110,voluntaria,23,3
276,202109,voluntaria,31,3
277,202108,voluntaria,33,3
278,202107,voluntaria,30,3
279,202106,voluntaria,32,3
280,202105,voluntaria,51,3
281,202104,voluntaria,39,3
282,202103,voluntaria,48,3
283,202102,voluntaria,80,3
284,202101,voluntaria,82,3
285,202012,voluntaria,103,3
286,202011,voluntaria,63,3
287,202010,voluntaria,30,3
288,202009,voluntaria,37,3
289,202008,voluntaria,21,3
290,202007,voluntaria,26,3
291,202006,voluntaria,34,3
292,202005,voluntaria,14,3
293,202004,voluntaria,9,3
294,202003,voluntaria,33,3
295,202002,voluntaria,66,3
296,202001,voluntaria,120,3
297,201912,voluntaria,128,3
298,201911,voluntaria,69,3
299,201910,voluntaria,44,3
300,201909,voluntaria,27,3
301,201908,voluntaria,44,3
302,201907,voluntaria,33,3
303,201906,voluntaria,28,3
304,201905,voluntaria,29,3
305,201904,voluntaria,46,3
306,201903,voluntaria,49,3
307,201902,voluntaria,60,3
308,201901,voluntaria,112,3
309,201812,voluntaria,131,3
310,201811,voluntaria,61,3
311,201810,voluntaria,37,3
312,201809,voluntaria,19,3
313,201808,voluntaria,30,3
314,201807,voluntaria,28,3
315,201806,voluntaria,35,3
316,201805,voluntaria,32,3
317,201804,voluntaria,41,3
318,201803,voluntaria,34,3
319,201802,voluntaria,81,3
320,201801,voluntaria,125,3
321,201712,voluntaria,82,3
322,201711,voluntaria,40,3
323,201710,voluntaria,27,3
324,201709,voluntaria,22,3
325,201708,voluntaria,40,3
326,201707,voluntaria,35,3
327,201706,voluntaria,32,3
328,201705,voluntaria,47,3
329,201704,voluntaria,35,3
330,201703,voluntaria,55,3
331,201702,voluntaria,74,3
332,201701,voluntaria,142,3
333,201612,voluntaria,84,3
334,201611,voluntaria,66,3
335,201610,voluntaria,24,3
336,201609,voluntaria,32,3
337,201608,voluntaria,28,3
338,201607,voluntaria,27,3
339,201606,voluntaria,35,3
340,201605,voluntaria,37,3
341,201604,voluntaria,36,3
342,201603,voluntaria,46,3
343,201602,voluntaria,100,3
344,201601,voluntaria,69,3
345,201512,voluntaria,80,3
346,201511,voluntaria,47,3
347,201510,voluntaria,29,3
348,201509,voluntaria,28,3
349,201508,voluntaria,43,3
350,201507,voluntaria,35,3
351,201506,voluntaria,33,3
352,201505,voluntaria,24,3
353,201504,voluntaria,28,3
354,201503,voluntaria,34,3
355,201502,voluntaria,54,3
356,201501,voluntaria,93,3
357,201412,voluntaria,53,3
358,201411,voluntaria,63,3
359,201410,voluntaria,40,3
360,201409,voluntaria,30,3
361,201408,voluntaria,37,3
362,201407,voluntaria,39,3
363,201406,voluntaria,33,3
364,201405,voluntaria,28,3
365,201404,voluntaria,33,3
366,201403,voluntaria,47,3
367,201402,voluntaria,81,3
368,201401,voluntaria,84,3
